Temperature,Voltage,Conductivity,H2,Efficiency,Voltage Loss,Degradation
365.91307773937126,1.999399916651536,17.79429262213463,7.405874316008329e-05,0.5999935137916694,0.7994989791461553,0.7619067367333792
320.2284531346544,1.5000005916555434,15.840462303589597,7.797097730907317e-07,0.7997933150515091,0.30010118152091986,0.017614414757795627
325.7668637932436,1.5000005916555434,14.602609284581616,3.680245908213875e-07,0.7998213440374868,0.3001009750221516,0.021427991955430326
345.1174334223804,1.5000000000010658,9.290601523948654,1.995202312976478e-06,0.7998584286847338,0.30010001471536674,0.07716674061852552
372.39670482424054,1.9993996071543496,18.10503985885649,7.500424522667272e-05,0.5999750683407697,0.7994985120983422,0.7793340187298606
371.916506057046,1.9993522680214197,18.51339599227655,7.48616661325473e-05,0.5999862528317299,0.7994511030569327,0.7807495004940195
332.31243264821444,1.5000000000119127,9.285649459915206,1.0195219384059455e-06,0.7998631956818509,0.30010006087728325,0.07153188500761426
371.302618060362,1.9993996071543496,18.10503985885649,7.504028490431939e-05,0.5999778146164964,0.799498530827184,0.7775494226011406
375.21587428188184,1.5906437388606622,18.47826540983349,1.5840058736480327e-05,0.754325788447176,0.39074423982565754,0.1523356582597057
382.5364642391171,1.5782143961258288,18.085393444861165,1.562547012018082e-05,0.7602429563130038,0.3783150101805859,0.14984206256361193
375.6250339092789,1.6931089217913569,18.1415722598721,2.8009382058574518e-05,0.7086990041766039,0.4932090159109114,0.28001249141277906
373.5846408390587,1.6845759233525093,17.66165829410319,2.6687196447377287e-05,0.7122897830000554,0.4846760207697923,0.26779479466572476
372.648849717573,1.9455868332146629,17.49743908873257,6.681707593475904e-05,0.6167058627565523,0.7456861624098463,0.682821033272212
377.638211945945,1.8180128703570897,18.122909899732754,4.6239576084621374e-05,0.6600202966801805,0.6181125907212417,0.47109638028328854
359.3710608151394,1.5056994550668115,18.353562243319487,6.017554346146235e-06,0.7967099748993477,0.3058002480779859,0.04783797079498281
382.97311616797765,1.8664204572704273,16.82299061443356,5.4056460328609065e-05,0.6429062211669531,0.6665200583090822,0.5597579523753335
371.77997829636007,1.615735819153017,18.341995260779726,1.7975977475754553e-05,0.7426335681349172,0.4158361664324134,0.17562663943152937
370.9531219921365,1.5471949968913044,17.640763220039435,1.0741874199233779e-05,0.7754636071650997,0.34729556911579335,0.0989422524705455
367.5343567542396,1.5150742455836623,17.416633786934177,7.353994283221742e-06,0.7918217873944327,0.31517492145497206,0.06240204458261411
376.95940820432946,1.6827829801628358,17.9358771676996,2.6946872367954485e-05,0.7130489879022017,0.4828831043006443,0.2690423171939051
373.64564144788534,1.6304606067415968,18.11736727218904,2.000521352690029e-05,0.7359311757424374,0.43056089485094357,0.1964630997763279
369.0011223342861,1.502483691278229,17.1083181613258,6.641273754888483e-06,0.7984073544188071,0.3025844168903459,0.05336280245494601
383.12665842765085,1.5684037379525337,17.771845752939303,1.4792495834040254e-05,0.7649866082479149,0.368504380540204,0.14039261400614347
372.63182677548446,1.9489473411138452,17.952161549183227,6.7619474112031e-05,0.6156352296169932,0.7490465868814622,0.6912795949281916
372.4223766947811,1.7325649470504711,17.235986431063033,3.2835170064109665e-05,0.6925545214549395,0.5326649271447713,0.3351359653716731
372.72542313240564,1.7621243764005297,17.268645789080995,3.707747928920486e-05,0.6809382278915237,0.5622242969284992,0.3786940077364861
373.6052990321186,1.6805002320507472,18.116440604369927,2.6074476411448883e-05,0.7140173248165632,0.4806003560201025,0.26007426635239655
372.8693225187255,1.938186274184462,16.94053468944558,6.496802888949894e-05,0.6190723452136532,0.7382857099086922,0.6664513858356174
377.18782980795726,1.552348061999481,18.011170151027656,1.2439421467617285e-05,0.7728778029574811,0.352448733488281,0.11502116634971923
373.8707736890211,1.9838203843738096,18.515276321226562,7.263664599191191e-05,0.6047301420553864,0.7839192984379761,0.7571304447575569
374.31844093159157,1.9082073622790867,17.005075158392955,6.039682352761463e-05,0.6288210564918135,0.708306896843462,0.6182931376121947
376.7185856334656,1.619720684241685,18.300718692445834,1.9226410527597616e-05,0.7408038041562209,0.4198210529587435,0.18774438315476427
381.85309594875105,1.6246808180268022,18.95925555972699,2.0051076783483843e-05,0.738532285612975,0.42478126549919093,0.2004886972286213
378.7496037013633,1.7375973849477837,17.02234709893018,3.468544157081257e-05,0.690551560397718,0.5376973552341524,0.3535460947905238
377.50419587182176,1.7976709528368005,17.80538085466254,4.319979912737076e-05,0.6674836042895913,0.5977707538395067,0.4392237855004838
372.344384901581,1.9415563025663554,17.340189077563824,6.59793680207022e-05,0.6179926331056427,0.7416556774943766,0.6742443992682684
380.2988359895621,1.593015394490588,18.49287676424713,1.6773093628358617e-05,0.7531961638718476,0.39311594291539265,0.16265760060133536
342.74337952325726,1.5008014680116544,18.688135587865425,5.2980462858899335e-06,0.7993052786348049,0.30090229459641327,0.04050092656062104
374.2055454749103,1.7579586875462627,18.35173976157369,3.653309387908634e-05,0.6825552151717189,0.5580585944819325,0.368964556929036
370.74218553100144,1.932837962676789,17.77413225809975,6.465464415006298e-05,0.6207903525306717,0.7329373411757929,0.6579203273095634
374.9568349056479,1.844669673323304,18.091219814508595,5.031779968402947e-05,0.6504869141637775,0.6447693258275067,0.5112968580689058
381.6780804217536,1.6004308165227417,18.30027600328603,1.7729604087734065e-05,0.7497137607803591,0.4005313251883759,0.17261647574870645
372.1413126595588,1.9571487194087371,18.016594815258973,6.89096546478287e-05,0.6130419772977712,0.757247916508049,0.7052646285695137
373.8707736890211,1.8594147941782235,18.512520825508727,5.2439226336392666e-05,0.6453307651726986,0.6595143654710091,0.5335959539133629
380.3078954330397,1.5758746455122001,18.487928034930967,1.5081034242856743e-05,0.7613663447111307,0.3759752856721461,0.1446451792486659
371.93762991030445,1.965607754579383,17.889038121770767,7.017744340296784e-05,0.6103883451240361,0.7657069258413477,0.7191079879308859
