Name ,Voltage,Conductivity,Temperature,AvgMemPotential,H2Flow,CurrentDensity,TransferCurrent,Faraday_H2_mol,Faraday_H2_kg,Efficiency,Voltage_loss,Resistivity_Index,J_norm,Resistivity_Index_norm,VL_norm,Degradation_index
DP 129,1.7239,4.334,322.52,0.86194995,6.94E-09,5182.4065,1.3293003,6.89E-06,1.39E-08,0.6960380533,0.524,0.2307337333,0.1124495839,0.644648572,0.4483380056,0.3977939333
DP 130,1.5971,14.887,323.72,0.79854996,4.56E-09,3571.6758,0.87381872,4.53E-06,9.13E-09,0.7512992299,0.3972,0.06717270101,0.06975420373,0.06125230186,0.19443332,0.1073951424
DP 131,1.5029,8.428,326.62,0.75144988,1.70E-08,1091.4325,0.12648577,6.55E-07,1.32E-09,0.7983897798,0.303,0.118652112,0.004010792566,0.244871199,0.005806968362,0.08404735678
DP 132,1.6833,7.911,323.92,0.84164992,8.26E-09,5968.6434,1.5811169,8.19E-06,1.65E-08,0.7128259966,0.4834,0.1264062698,0.1332902393,0.2725290503,0.3670404485,0.2550437136
DP 133,1.9467,13.248,314.86,0.97335002,7.45E-09,5549.0747,1.4265644,7.39E-06,1.49E-08,0.6163764319,0.7468,0.07548309179,0.1221687991,0.09089414817,0.894473368,0.365486984
DP 134,1.6181,6.11,365.57,0.80904947,8.82E-09,6313.5716,1.6884476,8.75E-06,1.76E-08,0.74154873,0.4182,0.1636661211,0.1424331957,0.4054290327,0.2364837805,0.258834183
DP 135,1.6317,13.954,376.03,0.81584901,1.93E-08,12890.483,3.6979959,1.92E-05,3.86E-08,0.7353680211,0.4318,0.07166403899,0.3167663308,0.07727219232,0.2637164598,0.2170591444
DP 136,1.8534,3.777,339.98,0.92669964,1.27E-08,8909.9795,2.4293598,1.26E-05,2.54E-08,0.6474047696,0.6535,0.2647603918,0.2112557633,0.7660162683,0.707649179,0.5560239995
DP 137,1.7185,9.041,356.85,0.8592493,1.77E-08,11992.845,3.3976706,1.76E-05,3.55E-08,0.6982251964,0.5186,0.1106072337,0.2929727844,0.2161763936,0.43752503,0.3124024887
DP 138,1.888,4.825,326.7,0.94399982,1.57E-08,10839.716,3.0100597,1.56E-05,3.14E-08,0.6355402542,0.6881,0.207253886,0.262406979,0.5608996794,0.7769323188,0.5280788625
DP 139,1.8062,6.517,318.78,0.90309998,1.37E-08,9493.6179,2.6247047,1.36E-05,2.74E-08,0.6643228878,0.6063,0.1534448366,0.2267261727,0.3689713313,0.6131357629,0.3989149781
DP 140,1.5815,5.859,338.56,0.79074966,3.84E-09,3139.3232,0.73510411,3.81E-06,7.68E-09,0.7587100854,0.3816,0.17067759,0.05829390274,0.4304378307,0.163195835,0.2151360976
DP 141,1.9441,7.13,336.67,0.97204952,2.75E-08,18305.978,5.2560107,2.72E-05,5.49E-08,0.6172007613,0.7442,0.1402524544,0.4603139878,0.3219161957,0.8892671205,0.5515941104
DP 142,1.9719,11.876,328.94,0.98594955,4.30E-08,28103.319,8.2306458,4.27E-05,8.60E-08,0.6084994168,0.772,0.0842034355,0.7200105336,0.1219982316,0.9449339207,0.5896910863
DP 143,1.9136,8.855,360.9,0.95679928,3.51E-08,23141.672,6.7184277,3.48E-05,7.02E-08,0.6270380435,0.7137,0.1129305477,0.5884929527,0.2244632863,0.8281938326,0.5415795236
DP 144,1.5741,12.911,355.49,0.78704958,8.28E-09,5901.4218,1.5849663,8.21E-06,1.66E-08,0.7622768566,0.3742,0.07745333437,0.1315084071,0.09792169107,0.1483780537,0.1246766901
DP 145,1.6444,14.787,342.33,0.82219961,1.26E-08,8653.5602,2.4165345,1.25E-05,2.52E-08,0.7296886402,0.4445,0.06762696964,0.2044588981,0.06287260601,0.2891469764,0.1836378985
DP 146,1.6249,6.63,370.95,0.81244934,1.05E-08,7352.0985,2.0019489,1.04E-05,2.09E-08,0.7384454428,0.425,0.1508295626,0.1699612616,0.3596430637,0.2501001201,0.257302467
DP 147,1.5463,3.971,340.06,0.77314867,2.08E-09,2012.2529,0.3978969,2.06E-06,4.16E-09,0.7759813749,0.3464,0.2518257366,0.02841883115,0.7198804038,0.0927112535,0.2775334612
DP 148,1.8976,13.324,345.52,0.94879917,4.23E-08,27619.766,8.1014561,4.20E-05,8.46E-08,0.6323250422,0.6977,0.07505253678,0.7071930718,0.0893584267,0.7961553865,0.525593272
DP 149,1.957,7.65,370.52,0.97850004,3.63E-08,23956.003,6.9456808,3.60E-05,7.26E-08,0.6131323454,0.7571,0.1307189542,0.6100782939,0.2879117121,0.9150981177,0.5983190808
DP 150,1.594,12.388,372.73,0.79699923,1.34E-08,9153.9593,2.5678816,1.33E-05,2.68E-08,0.7527603513,0.3941,0.08072328059,0.2177228967,0.1095850708,0.188225871,0.1701261667
DP 151,1.8415,4.654,328.03,0.92074981,1.32E-08,9212.1292,2.5264628,1.31E-05,2.64E-08,0.651588379,0.6416,0.21486893,0.2192647969,0.5880613338,0.6838205847,0.4920784161
DP 152,1.7099,10.501,370.22,0.85494903,2.19E-08,14625.634,4.1970256,2.17E-05,4.38E-08,0.7017369437,0.51,0.09522902581,0.3627597,0.1613247642,0.4203043652,0.3116483137
DP 153,1.596,14.37,329.72,0.7979999,5.45E-09,4128.6784,1.0437198,5.41E-06,1.09E-08,0.7518170426,0.3961,0.06958942241,0.08451858227,0.06987236391,0.1922306768,0.1143851356
DP 154,1.8186,9.52,380.65,0.90929866,3.25E-08,21414.578,6.2141087,3.22E-05,6.49E-08,0.6597932476,0.6187,0.1050420168,0.5427131492,0.1963261473,0.6379655587,0.4544116022
DP 155,1.8836,9.895,366.36,0.94179892,3.67E-08,24119.672,7.0221348,3.64E-05,7.34E-08,0.637024846,0.6837,0.101061142,0.6144166418,0.1821269979,0.7681217461,0.5163395773
DP 156,1.78,4.559,327.39,0.88999986,1.01E-08,7229.2631,1.9382752,1.00E-05,2.02E-08,0.6741011236,0.5801,0.2193463479,0.1667052834,0.6040315737,0.5606728074,0.4393651893
DP 157,1.625,13.007,359.87,0.81249936,1.39E-08,9453.3732,2.6567198,1.38E-05,2.78E-08,0.7384,0.4251,0.0768816791,0.2256594129,0.09588268735,0.2503003604,0.188708012
DP 158,1.8761,8.533,378.66,0.93804873,3.43E-08,22623.226,6.5617431,3.40E-05,6.86E-08,0.6395714514,0.6762,0.1171920778,0.5747505878,0.2396634885,0.7531037245,0.5172808743
DP 159,1.7871,3.229,333.16,0.89354981,8.38E-09,6135.932,1.6038012,8.31E-06,1.68E-08,0.6714229758,0.5872,0.3096934035,0.1377245313,0.9262851971,0.5748898678,0.5408368668
DP 160,1.9175,8.901,328.43,0.95874969,2.89E-08,19186.6,5.5375605,2.87E-05,5.79E-08,0.6257627119,0.7176,0.1123469273,0.4836564939,0.2223816049,0.8360032038,0.5088736298
DP 161,1.5261,4.075,332.02,0.7630497,1.22E-09,1459.8364,0.23376542,1.21E-06,2.44E-09,0.7862525392,0.3262,0.245398773,0.01377601563,0.6969564436,0.05226271526,0.2517884076
DP 162,1.8183,3.536,371.42,0.90914925,1.35E-08,9401.8895,2.5788018,1.34E-05,2.69E-08,0.6599021064,0.6184,0.2828054299,0.2242947427,0.830380058,0.6373648378,0.5583730807
DP 163,1.5476,9.485,331.68,0.77379919,2.37E-09,2180.6988,0.45295007,2.35E-06,4.73E-09,0.7753295425,0.3477,0.1054296257,0.03288379959,0.1977086868,0.09531437725,0.107549265
DP 164,1.7442,12.596,380.08,0.87209872,3.15E-08,20705.842,6.0311946,3.13E-05,6.30E-08,0.6879371632,0.5443,0.07939028263,0.5239267978,0.1048304784,0.4889867841,0.3688555399
DP 165,1.5555,12.738,318.4,0.77774975,1.64E-09,1727.7977,0.31478572,1.63E-06,3.29E-09,0.7713918354,0.3556,0.07850525985,0.02087882281,0.1016737425,0.11113336,0.07711635536
DP 166,1.6903,9.766,340.38,0.84514963,1.31E-08,9008.0748,2.504401,1.30E-05,2.62E-08,0.7098739869,0.4904,0.102396068,0.2138559597,0.1868884673,0.3810572687,0.2579945596
DP 167,1.6533,8.784,376.76,0.8266491,1.59E-08,10809.357,3.0474116,1.58E-05,3.18E-08,0.7257606,0.4534,0.1138433515,0.2616022579,0.2277191129,0.306968362,0.2627756118
DP 168,1.5148,10.553,325.52,0.75739994,9.29E-10,1264.3635,0.1779766,9.22E-07,1.86E-09,0.7921177713,0.3149,0.09475978395,0.008594646834,0.1596510529,0.02963556268,0.06530081658
DP 169,1.6715,12.681,349.23,0.83574946,1.58E-08,10669.785,3.0186353,1.56E-05,3.15E-08,0.7178582112,0.4716,0.07885813422,0.2579026453,0.1029323894,0.3434120945,0.2324015526
DP 170,1.5624,11.465,368.42,0.78119937,9.26E-09,6527.6223,1.7738993,9.19E-06,1.85E-08,0.767985151,0.3625,0.08722197994,0.1481070033,0.132764901,0.1249499399,0.1339212086
DP 171,1.5073,10.859,318,0.75364998,4.17E-10,940.12089,0.079828412,4.14E-07,8.34E-10,0.7960591787,0.3074,0.092089511,0,0.1501266126,0.01461754105,0.05436557072
DP 172,1.8429,12.671,353.2,0.92144901,3.61E-08,23664.929,6.9134376,3.58E-05,7.22E-08,0.6510933854,0.643,0.07892036935,0.602362842,0.1031543723,0.6866239487,0.4594065838
DP 173,1.7885,5.513,330.86,0.89424728,1.25E-08,8763.881,2.400545,1.24E-05,2.51E-08,0.6708974001,0.5886,0.1813894431,0.2073831538,0.4686453124,0.5776932319,0.4137281604
DP 174,1.5375,14.176,359.26,0.76874957,6.42E-09,4708.3484,1.228378,6.37E-06,1.28E-08,0.7804227642,0.3376,0.07054176072,0.09988380194,0.07326920368,0.07509010813,0.08192022754
DP 175,1.9311,10.435,363.6,0.96555,4.26E-08,27931.81,8.1644984,4.23E-05,8.53E-08,0.621355704,0.7312,0.09583133685,0.715464372,0.1634731122,0.8632358831,0.5749172112
DP 176,1.5574,5.946,334.38,0.77869847,2.45E-09,2244.2526,0.46840779,2.43E-06,4.89E-09,0.7704507513,0.3575,0.1681802893,0.03456840997,0.4215303548,0.1149379255,0.1884421078
DP 177,1.6963,13.745,328.7,0.8481498,1.41E-08,9592.4055,2.6929369,1.40E-05,2.81E-08,0.7073630844,0.4964,0.07275372863,0.2293447198,0.08115894251,0.393071686,0.2321798649
DP 178,1.5053,11.197,354.83,0.75264963,3.23E-09,2705.0277,0.61918344,3.21E-06,6.47E-09,0.7971168538,0.3054,0.08930963651,0.04678210161,0.140211241,0.01061273528,0.06521000572
DP 179,1.6067,13.794,341.5,0.80334972,8.46E-09,6022.6675,1.6191025,8.39E-06,1.69E-08,0.7468102322,0.4068,0.07249528781,0.1347222474,0.08023712507,0.2136563877,0.1414432009
DP 180,1.7678,5.721,344.01,0.88389957,1.36E-08,9423.3187,2.6037392,1.35E-05,2.72E-08,0.6787532526,0.5679,0.1747946163,0.2248627631,0.4451226108,0.5362434922,0.3980555258
DP 181,1.8463,5.238,339.31,0.92314959,1.62E-08,11120.847,3.1012539,1.61E-05,3.24E-08,0.6498943834,0.6464,0.190912562,0.2698588734,0.5026127677,0.6934321185,0.4837482407
DP 182,1.8267,9.337,370.65,0.91334883,3.06E-08,20231.671,5.8587943,3.04E-05,6.12E-08,0.6568675754,0.6268,0.1071007818,0.5113580232,0.2036694357,0.654185022,0.4518401187
DP 183,1.874,6.97,352.75,0.93699923,2.46E-08,16451.166,4.7056181,2.44E-05,4.92E-08,0.6402881537,0.6741,0.143472023,0.4111487838,0.3333998863,0.7488986784,0.492837625
DP 184,1.6527,8.152,343.51,0.82634966,9.52E-09,6755.0876,1.8232829,9.45E-06,1.90E-08,0.7260240818,0.4528,0.1226692836,0.1541363895,0.2591998132,0.3057669203,0.2373040306
DP 185,1.656,11.332,317.08,0.82800001,6.86E-09,5053.6091,1.3137932,6.81E-06,1.37E-08,0.7245772947,0.4561,0.08824567596,0.1090355719,0.1364162625,0.3123748498,0.1840828058
DP 186,1.7622,9.959,379.35,0.8810988,2.79E-08,18479.3,5.3441792,2.77E-05,5.58E-08,0.6809102259,0.5623,0.1004116879,0.4649082063,0.1798104982,0.525030036,0.3860170844
DP 187,1.7917,8.283,364.92,0.89584907,2.39E-08,15935.352,4.5684392,2.37E-05,4.77E-08,0.6696991684,0.5918,0.1207292044,0.3974761848,0.2522798582,0.5841009211,0.4071727982
DP 188,1.6923,4.891,329.96,0.84614987,7.01E-09,5204.1561,1.3414365,6.95E-06,1.40E-08,0.7090350411,0.4924,0.2044571662,0.1130260971,0.5509242234,0.3850620745,0.3461740903
DP 189,1.6003,11.397,356.54,0.80014951,1.00E-08,7011.0612,1.9155099,9.93E-06,2.00E-08,0.7497969131,0.4004,0.08774238835,0.1609214406,0.1346211153,0.2008410092,0.1638065765
DP 190,1.6276,7.054,361.19,0.81379947,9.68E-09,6856.9387,1.8538803,9.61E-06,1.94E-08,0.7372204473,0.4277,0.1417635384,0.1568361403,0.3273059928,0.2555066079,0.2440840845
DP 191,1.8123,8.63,373.29,0.90614886,2.80E-08,18592.814,5.364003,2.78E-05,5.60E-08,0.662086851,0.6124,0.1158748552,0.4679171036,0.2349651642,0.6253504205,0.4383167871
DP 192,1.5845,14.515,331.51,0.79224989,4.98E-09,3825.0937,0.95268499,4.94E-06,9.95E-09,0.7572735879,0.3846,0.06889424733,0.07647151134,0.06739278462,0.1692030437,0.1033122221
DP 193,1.8499,6.386,365.87,0.92494907,2.33E-08,15626.865,4.456328,2.31E-05,4.66E-08,0.6486296557,0.65,0.1565925462,0.3892991694,0.3801987125,0.7006407689,0.4851457548
DP 194,1.9707,6.218,316.19,0.98534964,9.95E-09,7190.2067,1.9051219,9.87E-06,1.99E-08,0.6088699447,0.7708,0.1608234159,0.1656700216,0.3952895539,0.9425310372,0.4961519022
DP 195,1.7254,13.709,316.6,0.86269979,1.09E-08,7608.7072,2.0827827,1.08E-05,2.18E-08,0.6954329431,0.5255,0.0729447808,0.1767631472,0.08184039532,0.4513416099,0.2342819003
DP 196,1.6192,14.135,334.48,0.8095998,8.16E-09,5842.7493,1.5632298,8.10E-06,1.63E-08,0.7410449605,0.4193,0.07074637425,0.1299531846,0.07399902769,0.2386864237,0.1460707499
DP 197,1.7029,9.457,350.8,0.85144943,1.58E-08,10761.304,3.0306314,1.57E-05,3.17E-08,0.704621528,0.503,0.1057417786,0.2603285247,0.1988220866,0.4062875451,0.2855945916
DP 198,1.7424,11.894,348.23,0.87119935,2.20E-08,14690.499,4.2212121,2.19E-05,4.41E-08,0.6886478421,0.5425,0.08407600471,0.3644790661,0.1215437062,0.485382459,0.3205637263
DP 199,1.6648,6.785,327.2,0.8323999,6.91E-09,5113.2594,1.3222511,6.85E-06,1.38E-08,0.7207472369,0.4649,0.1473839352,0.1106167128,0.3473530569,0.3299959952,0.2600287024
DP 200,1.5303,10.634,327.08,0.76514965,1.44E-09,1590.8394,0.27590986,1.43E-06,2.88E-09,0.784094622,0.3304,0.09403799135,0.01724849113,0.1570765331,0.06067280737,0.07754928443
DP 201,1.7948,8.094,316.73,0.89739957,1.12E-08,7879.5714,2.1416681,1.11E-05,2.24E-08,0.668542456,0.5949,0.1235483074,0.1839429011,0.2623351517,0.59030837,0.3420735195
DP 202,1.7044,4.39,321.9,0.85219996,6.18E-09,4688.631,1.1833775,6.13E-06,1.24E-08,0.7040014081,0.5045,0.2277904328,0.09936115598,0.6341502859,0.4092911494,0.3771248551
DP 203,1.7011,3.111,362.83,0.85054954,7.69E-09,5660.684,1.4716906,7.63E-06,1.54E-08,0.7053671154,0.5012,0.3214400514,0.1251272089,0.9681836277,0.4026832199,0.4936780386
DP 204,1.6501,11.284,376.43,0.82504904,1.86E-08,12489.281,3.5643399,1.85E-05,3.72E-08,0.7271680504,0.4502,0.08862105636,0.3061317338,0.1377551848,0.3005606728,0.2456677052
DP 205,1.7373,12.815,333.79,0.86864966,1.90E-08,12720.915,3.6323307,1.88E-05,3.79E-08,0.6906694296,0.5374,0.07803355443,0.3122716191,0.09999124404,0.4751702042,0.2928529122
DP 206,1.5446,14.414,323.52,0.77229954,1.73E-09,1771.7928,0.33067458,1.71E-06,3.45E-09,0.7768354266,0.3447,0.06937699459,0.02204499386,0.06911466755,0.0893071686,0.05955405391
DP 207,1.6,12.625,350.17,0.79999961,9.26E-09,6533.3805,1.7731837,9.19E-06,1.85E-08,0.7499375,0.4001,0.07920792079,0.148259635,0.1041800227,0.2002402883,0.1493843822
DP 208,1.5763,9.807,320.43,0.78814934,2.44E-09,2238.628,0.4666635,2.42E-06,4.88E-09,0.7612129671,0.3764,0.1019679821,0.0344193196,0.1853615527,0.15278334,0.1229461901
DP 209,1.7972,6.148,322.45,0.89859854,1.30E-08,9070.3936,2.4956553,1.29E-05,2.61E-08,0.6676496773,0.5973,0.1626545218,0.2155078341,0.4018208183,0.595114137,0.4001061205
DP 210,1.8373,9.678,367.61,0.91864886,3.18E-08,21016.538,6.0957365,3.16E-05,6.37E-08,0.653077886,0.6374,0.1033271337,0.5321623668,0.1902094311,0.6754104926,0.4612681559
DP 211,1.5123,5.304,358.15,0.75614874,2.74E-09,2412.2452,0.52462344,2.72E-06,5.48E-09,0.79342723,0.3124,0.1885369532,0.03902136286,0.4941393477,0.02462955547,0.1840707878
DP 212,1.8049,5.575,358.62,0.90244929,1.73E-08,11789.656,3.3078528,1.71E-05,3.46E-08,0.664801374,0.605,0.1793721973,0.2875868862,0.4614501164,0.6105326392,0.4486579818
DP 213,1.926,9.585,357.39,0.96299953,3.79E-08,24913.594,7.2544919,3.76E-05,7.58E-08,0.6230010384,0.7261,0.1043296818,0.6354610048,0.1937853612,0.8530236284,0.5551490982
DP 214,1.9225,8.651,325.01,0.96124978,2.80E-08,18611.629,5.3630993,2.78E-05,5.60E-08,0.6241352406,0.7226,0.115593573,0.4684158298,0.2339618753,0.8460152183,0.5109696647
DP 215,1.9066,13.483,360.38,0.95329974,4.83E-08,31431.381,9.2432675,4.79E-05,9.66E-08,0.6293401867,0.7067,0.07416747015,0.808226939,0.08620153436,0.8141770124,0.5638398103
DP 216,1.7106,10.898,366.88,0.85529909,2.18E-08,14563.103,4.1803635,2.17E-05,4.37E-08,0.7014497837,0.5107,0.09175995596,0.3611022008,0.148951142,0.4217060473,0.3074805987
DP 217,1.8113,10.834,313.15,0.90565011,5.12E-09,4031.723,0.97981866,5.08E-06,1.02E-08,0.6624523823,0.6114,0.09230201218,0.08194860104,0.1508845706,0.6233480176,0.2825397925
DP 218,1.7579,12.48,374.6,0.87894878,3.14E-08,20660.997,6.0161914,3.12E-05,6.29E-08,0.6825758007,0.558,0.08012820513,0.5227380985,0.107462531,0.5164197036,0.3783847099
DP 219,1.5711,3.57,344.77,0.78554822,2.89E-09,2541.9377,0.5532322,2.87E-06,5.78E-09,0.7637324168,0.3712,0.2801120448,0.04245910115,0.8207731805,0.142370845,0.3318490318
DP 220,1.5296,13.523,338.23,0.7647992,2.56E-09,2286.6237,0.49018938,2.54E-06,5.12E-09,0.7844534519,0.3297,0.07394808844,0.03569153392,0.0854190346,0.05927112535,0.05952595898
DP 221,1.9406,13.888,366.67,0.97029992,5.60E-08,36350.095,10.716854,5.55E-05,1.12E-07,0.6183139235,0.7407,0.07200460829,0.9386065017,0.07848694905,0.8822587105,0.6267862132
DP 222,1.9961,3.5,346.52,0.99804956,1.78E-08,12247.145,3.4085458,1.77E-05,3.56E-08,0.6011221883,0.7962,0.2857142857,0.2997134737,0.8407554856,0.9933920705,0.7041741398
DP 223,1.6377,8.384,345.69,0.81884965,9.05E-09,6447.135,1.7327226,8.98E-06,1.81E-08,0.7326738719,0.4378,0.1192748092,0.1459735393,0.247092261,0.2757308771,0.2207029035
DP 224,1.7661,3.664,322.89,0.88304994,7.62E-09,5640.5987,1.4595259,7.56E-06,1.52E-08,0.6794066021,0.5662,0.2729257642,0.1245948111,0.7951408569,0.5328394073,0.4793497748
DP 225,1.6974,6.676,356.07,0.84869943,1.27E-08,8825.6348,2.4366929,1.26E-05,2.55E-08,0.7069046777,0.4975,0.1497902936,0.2090200519,0.3559361559,0.3952743292,0.3168760772
DP 226,1.6229,7.421,347.89,0.81144967,7.81E-09,5662.2782,1.4950001,7.75E-06,1.56E-08,0.7393554748,0.423,0.1347527287,0.1251694661,0.3022995462,0.2460953144,0.2222762278
DP 227,1.9367,14.565,357.59,0.96834992,5.47E-08,35516.341,10.475861,5.43E-05,1.09E-07,0.6195590437,0.7368,0.06865774116,0.9165063182,0.06654920461,0.8744493392,0.6129766045
DP 228,1.6629,10.038,359.63,0.83144933,1.49E-08,10125.698,2.8457402,1.47E-05,2.97E-08,0.7215707499,0.463,0.09962143853,0.2434806185,0.176991804,0.3261914297,0.2463990712
DP 229,1.6203,3.901,378.38,0.81014942,7.56E-09,5538.3743,1.4481156,7.50E-06,1.51E-08,0.740541875,0.4204,0.256344527,0.1218851653,0.7359982129,0.2408890669,0.3625949069
DP 230,1.8137,5.444,323.26,0.90684942,1.29E-08,8977.9371,2.463209,1.28E-05,2.57E-08,0.6615757843,0.6138,0.1836884644,0.2130571045,0.4768455566,0.6281537845,0.4349586271
DP 231,1.8361,5.681,361.61,0.91804921,1.97E-08,13375.663,3.7796901,1.96E-05,3.95E-08,0.6535047111,0.6362,0.1760253477,0.3296269192,0.4495124343,0.6730076091,0.4792084977
DP 232,1.731,7.865,366.07,0.86549918,1.85E-08,12505.871,3.5441198,1.84E-05,3.70E-08,0.6931831311,0.5311,0.1271455817,0.3065714823,0.2751660588,0.4625550661,0.3446165604
DP 233,1.782,13.599,325.34,0.89099981,2.27E-08,15059.75,4.3376622,2.25E-05,4.53E-08,0.6733445567,0.5821,0.07353481874,0.3742667431,0.08394496708,0.5646776131,0.3375534767
DP 234,1.5891,11.788,375.89,0.79454918,1.32E-08,9047.5037,2.5344829,1.31E-05,2.65E-08,0.7550814927,0.3892,0.08483203258,0.2149010952,0.1242403377,0.1784140969,0.1707933248
DP 235,1.829,9.092,319.66,0.91450001,1.97E-08,13286.581,3.7700854,1.95E-05,3.94E-08,0.6560415528,0.6291,0.1099868016,0.327265637,0.2139634106,0.6587905487,0.3960064668
DP 236,1.7556,13.061,352.37,0.8777992,2.62E-08,17317.262,5.0164298,2.60E-05,5.24E-08,0.6834700387,0.5557,0.07656381594,0.4341062515,0.09474891988,0.511814177,0.343420885
DP 237,1.9512,13.969,362.51,0.97559991,5.64E-08,36638.213,10.803965,5.60E-05,1.13E-07,0.6149548995,0.7513,0.07158708569,0.9462435993,0.07699771211,0.903484181,0.6358194125
DP 238,1.536,12.854,341.94,0.76799921,3.31E-09,2760.9323,0.63364971,3.28E-06,6.62E-09,0.7811848958,0.3361,0.07779679477,0.04826395587,0.09914675988,0.0720865038,0.07243408245
DP 239,1.8562,7.003,373.38,0.92809889,2.68E-08,17869.405,5.1303256,2.66E-05,5.36E-08,0.6464281866,0.6563,0.1427959446,0.4487418174,0.330988422,0.7132559071,0.4926854283
DP 240,1.5111,3.81,334.7,0.75554997,6.91E-10,1331.9925,0.19684994,1.02E-06,2.06E-09,0.7940573092,0.3112,0.2624671916,0.01038727788,0.7578367866,0.02222667201,0.2608487431
DP 241,1.7858,12.269,326.23,0.89289979,2.17E-08,14473.152,4.154156,2.15E-05,4.34E-08,0.6719117482,0.5859,0.08150623523,0.3587178841,0.1123777459,0.5722867441,0.3443161834
DP 242,1.9689,4.481,374.79,0.98444962,2.40E-08,16165.975,4.5886496,2.38E-05,4.79E-08,0.6094265834,0.769,0.2231644722,0.4035892717,0.6176502179,0.9389267121,0.6468548465
DP 243,1.5797,11.839,329.27,0.78984958,3.94E-09,3178.3359,0.75375206,3.91E-06,7.87E-09,0.7595746028,0.3798,0.08446659346,0.05932800612,0.1229368743,0.1595915098,0.1128126088
DP 244,1.549,6.461,367.14,0.77449955,5.75E-09,4331.3372,1.1005956,5.70E-06,1.15E-08,0.7746287928,0.3491,0.1547748027,0.08989042656,0.3737151095,0.09811774129,0.1853686815
DP 245,1.9192,10.258,343.16,0.95959929,3.60E-08,23696.879,6.8984317,3.57E-05,7.21E-08,0.6252084202,0.7193,0.09748488984,0.6032097356,0.1693710735,0.8394072887,0.5319560723
DP 246,1.7646,7.388,319.92,0.88229974,1.24E-08,8651.6192,2.3795456,1.23E-05,2.49E-08,0.6799841324,0.5647,0.1353546291,0.2044074483,0.3044464295,0.529835803,0.3427675946
DP 247,1.5402,9.255,353.3,0.77009972,4.60E-09,3585.6241,0.88027567,4.56E-06,9.20E-09,0.7790546682,0.3403,0.1080497029,0.07012392908,0.2070540866,0.08049659592,0.1180326218
DP 248,1.9451,5.647,320.23,0.97254989,2.03E-08,13800.19,3.8958338,2.02E-05,4.07E-08,0.6168834507,0.7452,0.177085178,0.3408797883,0.453292681,0.8912695234,0.5561958576
DP 249,1.642,11.623,314.7,0.82100004,5.55E-09,4219.2228,1.0620694,5.50E-06,1.11E-08,0.7307551766,0.4421,0.08603630732,0.08691862815,0.1285357948,0.2843412095,0.1649325587
DP 250,1.5324,12.087,316.18,0.76619999,8.43E-10,1217.2212,0.16133937,8.36E-07,1.69E-09,0.7830200992,0.3325,0.08273351535,0.007345053452,0.1167552595,0.06487785342,0.0623627949
DP 251,1.9531,10.74,317.66,0.97654936,1.37E-08,9495.6952,2.6177606,1.36E-05,2.73E-08,0.6143566638,0.7532,0.09310986965,0.2267812354,0.1537660701,0.9072887465,0.4249858972
DP 252,1.6687,4.259,378.78,0.83434929,1.01E-08,7166.6459,1.9316647,1.00E-05,2.02E-08,0.7190627435,0.4688,0.2347969007,0.1650454993,0.6591412459,0.3378053664,0.3834573969
DP 253,1.7078,5.384,335.91,0.85389977,8.94E-09,6433.018,1.7108565,8.87E-06,1.79E-08,0.702599836,0.5079,0.1857355126,0.1455993423,0.4841470532,0.4160993192,0.3451290859
DP 254,1.5238,14.823,317.31,0.76189999,7.32E-10,1142.5482,0.14007519,7.26E-07,1.46E-09,0.7874392965,0.3239,0.06746272684,0.005365708224,0.06228677801,0.04765718863,0.0380521927
DP 255,1.7716,7.292,362.3,0.88579919,1.97E-08,13286.881,3.7707333,1.95E-05,3.94E-08,0.6772973583,0.5717,0.137136588,0.327273589,0.3108023944,0.5438526231,0.3900364402
DP 256,1.8654,6.701,333.28,0.93269965,2.01E-08,13612.024,3.8555514,2.00E-05,4.03E-08,0.6432400558,0.6655,0.149231458,0.3358921023,0.3539428779,0.7316780136,0.469099288
DP 257,1.8635,4.634,369.96,0.93174912,1.89E-08,12890.812,3.6237399,1.88E-05,3.79E-08,0.6438958948,0.6636,0.2157962883,0.3167750516,0.5913690741,0.7278734481,0.5398857993
DP 258,1.7845,9.011,327.81,0.89224978,1.75E-08,11864.517,3.3525203,1.74E-05,3.50E-08,0.6724012328,0.5846,0.1109754744,0.2895712147,0.2174898498,0.5696836203,0.355325746
DP 259,1.991,3.133,351.24,0.99549963,1.64E-08,11326.827,3.1312969,1.62E-05,3.27E-08,0.6026619789,0.7911,0.3191828918,0.2753187522,0.9601326972,0.9831798158,0.7321483175
DP 260,1.7589,6.061,364.05,0.87944924,1.65E-08,11263.408,3.15821,1.64E-05,3.30E-08,0.682187731,0.559,0.1649892757,0.2736377149,0.4101485153,0.5184221065,0.3967287511
DP 261,1.7341,12.066,322.96,0.8670499,1.53E-08,10401.511,2.9287905,1.52E-05,3.06E-08,0.6919439479,0.5342,0.08287750704,0.2507915494,0.117268855,0.468762515,0.2761515634
DP 262,1.5906,8.7,332.24,0.7952999,4.41E-09,3491.2584,0.84406329,4.37E-06,8.82E-09,0.7543694203,0.3907,0.1149425287,0.06762259261,0.2316397036,0.1814177012,0.1586243992
DP 263,1.8893,3.868,352.86,0.94464942,1.56E-08,10808.382,2.9934149,1.55E-05,3.13E-08,0.6351029482,0.6894,0.2585315408,0.2615764137,0.7437989444,0.7795354425,0.5890205642
