Name ,Voltage,Conductivity,Temperature,AvgMemPotential,H2Flow,CurrentDensity,TransferCurrent,Faraday_H2_mol,Faraday_H2_kg,Efficiency,Voltage_loss,Resistivity_Index,J_norm,Resistivity_Index_norm,VL_norm,Degradation_index
DP 30,1.9422,10.654,330.23,0.97109959,3.65E-08,23977.232,6.985513,3.62E-05,7.30E-08,0.6178045515,0.7423,0.09386146048,0.6106410076,0.1564468755,0.8854625551,0.5453416446
DP 31,1.9249,8.457,340.56,0.96244941,3.08E-08,20375.494,5.8881695,3.05E-05,6.15E-08,0.6233570575,0.725,0.1182452406,0.5151703163,0.2434199533,0.8508209852,0.5311057141
DP 32,1.8911,11.538,381.7,0.94554885,4.63E-08,30245.062,8.866854,4.59E-05,9.26E-08,0.6344984401,0.6912,0.08667013347,0.7767813716,0.1307965522,0.7831397677,0.5579368382
DP 33,1.5676,14.726,315.89,0.78379986,1.93E-09,1910.1019,0.36944399,1.91E-06,3.86E-09,0.7654376116,0.3677,0.06790710308,0.02571113098,0.0638717976,0.1353624349,0.07423196996
DP 34,1.8616,13.822,343.93,0.93079922,3.83E-08,25045.696,7.3358802,3.80E-05,7.66E-08,0.6445530726,0.6617,0.07234843004,0.6389626114,0.0797133067,0.7240688827,0.4761057842
DP 35,1.7407,7.731,313.99,0.87035009,6.16E-09,4671.9964,1.178969,6.11E-06,1.23E-08,0.6893203883,0.5408,0.1293493727,0.09892022531,0.2830266317,0.481978374,0.2850953263
DP 36,1.7548,7.969,359.54,0.87739924,1.93E-08,13041.72,3.7031231,1.92E-05,3.87E-08,0.6837816275,0.5549,0.1254862593,0.3207751457,0.2692475187,0.5102122547,0.3630775233
DP 37,1.6984,3.408,328.25,0.84919991,5.45E-09,4227.0391,1.0428659,5.40E-06,1.09E-08,0.7064884597,0.4985,0.29342723,0.08712581356,0.8682663352,0.3972767321,0.4463807307
DP 38,1.9086,6.26,381.02,0.9542991,2.90E-08,19300.993,5.5456523,2.87E-05,5.79E-08,0.6286807084,0.7087,0.1597444089,0.4866886908,0.3914409072,0.8181818182,0.5597827673
DP 39,1.8733,12.148,326.02,0.93664973,3.13E-08,20608.7,5.9923492,3.11E-05,6.26E-08,0.6405274115,0.6734,0.08231807705,0.5213518704,0.1152734569,0.7474969964,0.4567603668
DP 40,1.7795,9.865,364.28,0.88974903,2.61E-08,17310.936,4.9925658,2.59E-05,5.22E-08,0.674290531,0.5796,0.1013684744,0.4339385692,0.1832232039,0.5596716059,0.3883550151
DP 41,1.8768,11.581,372.23,0.9383988,4.24E-08,27710.476,8.1114122,4.20E-05,8.47E-08,0.6393329071,0.6769,0.08634832916,0.7095975072,0.1296487272,0.7545054065,0.5259380415
DP 42,1.6663,5.194,317.39,0.83315001,4.85E-09,3818.3133,0.92777079,4.81E-06,9.69E-09,0.7200984217,0.4664,0.1925298421,0.07629178436,0.5083813493,0.3329995995,0.302832002
DP 43,1.5521,9.19,356.58,0.77604964,5.71E-09,4290.7565,1.0925863,5.66E-06,1.14E-08,0.7730816313,0.3522,0.1088139282,0.08881476046,0.2097799571,0.1043251902,0.1329635696
DP 44,1.5202,14.277,351.73,0.76009976,3.99E-09,3177.6331,0.76353608,3.96E-06,7.98E-09,0.7893040389,0.3203,0.07004272606,0.05930937711,0.07148922617,0.04044853825,0.0565115567
DP 45,1.6885,10.571,321.63,0.84424995,9.88E-09,6972.8208,1.8910405,9.80E-06,1.98E-08,0.7106307373,0.4886,0.09459842967,0.1599078085,0.1590755277,0.3774529435,0.2298239723
DP 46,1.6453,10.446,340.75,0.82264969,1.00E-08,7063.0611,1.923402,9.97E-06,2.01E-08,0.7292894913,0.4454,0.09573042313,0.1622997936,0.1631131689,0.290949139,0.2033994935
DP 47,1.9644,11.673,315.67,0.98219993,8.89E-09,6471.6256,1.7021212,8.82E-06,1.78E-08,0.610822643,0.7645,0.08566778035,0.1466227077,0.1272213175,0.9299158991,0.397240775
DP 48,1.9943,8.049,344.46,0.99714969,3.60E-08,23789.146,6.8989367,3.58E-05,7.21E-08,0.6016647445,0.7944,0.1242390359,0.6056554421,0.2647988708,0.9897877453,0.6138798792
DP 49,1.8704,3.315,332.97,0.93519976,1.14E-08,8083.9631,2.177518,1.13E-05,2.27E-08,0.6415205304,0.6705,0.3016591252,0.1893606791,0.8976282,0.741690028,0.6034640394
DP 50,1.7351,10.159,363.23,0.86754912,2.22E-08,14833.856,4.2554201,2.21E-05,4.45E-08,0.6915451559,0.5352,0.09843488532,0.3682790071,0.1727595568,0.4707649179,0.333895149
DP 51,1.8918,4.195,357.18,0.94589932,1.73E-08,11878.846,3.3153353,1.72E-05,3.46E-08,0.6342636642,0.6919,0.2383790226,0.2899510312,0.6719181071,0.7845414497,0.576315494
DP 52,1.5003,14.465,337.26,0.75014972,1.36E-09,1523.9159,0.26071742,1.35E-06,2.72E-09,0.7997733787,0.3004,0.06913238852,0.01547456065,0.0682421965,0.000600720865,0.02782476775
DP 53,1.8475,11.402,324.67,0.9237498,2.67E-08,17668.456,5.1059057,2.65E-05,5.33E-08,0.6494722598,0.6476,0.08770391159,0.4434152945,0.1344838749,0.695835002,0.4203322765
DP 54,1.7475,4.686,313.66,0.87375013,5.73E-09,4421.7324,1.0965163,5.68E-06,1.15E-08,0.6866380544,0.5476,0.2134016219,0.09228651762,0.5828276785,0.4955947137,0.3863339402
DP 55,1.8804,6.753,350.67,0.94019928,2.41E-08,16123.243,4.6053279,2.39E-05,4.81E-08,0.638108913,0.6805,0.1480823338,0.4024565814,0.349844134,0.7617140569,0.4996248749
DP 56,1.913,4.123,355.32,0.95649935,1.78E-08,12195.932,3.4072161,1.77E-05,3.56E-08,0.6272347099,0.7131,0.2425418385,0.2983559789,0.6867662111,0.8269923909,0.5979978117
